MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,RingCount,HeavyAtomCount,RotatableBonds,aromatic_flag,tail_length,ionic_encoded,ethoxylate_count,pCMC
288.385,0.38810000000000056,66.43,0.0,4.0,0.0,18.0,12.0,0,12,0,1,2.09
260.33099999999996,-0.3920999999999988,66.43,0.0,4.0,0.0,16.0,10.0,0,10,0,1,1.49
232.27700000000002,-1.172299999999998,66.43,0.0,4.0,0.0,14.0,8.0,0,8,0,1,0.82
364.45599999999996,3.177900000000001,0.0,0.0,0.0,0.0,21.0,15.0,0,16,1,0,3.05
308.34799999999996,1.6175000000000002,0.0,0.0,0.0,0.0,17.0,11.0,0,12,1,0,1.82
336.40199999999993,2.3977000000000004,0.0,0.0,0.0,0.0,19.0,13.0,0,14,1,0,2.43
325.9680000000001,2.9606000000000012,0.0,0.0,0.0,1.0,22.0,11.0,1,11,1,0,2.92
478.66700000000026,3.119100000000002,125.68000000000002,4.0,8.0,0.0,33.0,25.0,0,16,3,13,4.22
532.7590000000004,4.455500000000007,125.68000000000002,4.0,8.0,0.0,37.0,28.0,0,20,3,13,4.92
288.428,3.0513000000000017,66.76,2.0,4.0,0.0,20.0,14.0,0,12,3,4,3.6
398.6280000000001,5.948100000000008,66.76,2.0,4.0,0.0,28.0,21.0,0,20,3,4,5.0
318.49800000000005,3.949400000000004,47.92,1.0,4.0,0.0,22.0,19.0,0,12,3,7,4.05
352.4710000000001,2.875500000000002,64.99000000000001,1.0,5.0,1.0,25.0,13.0,1,4,3,7,3.62
250.382,3.960700000000004,29.46,1.0,2.0,1.0,18.0,10.0,1,8,3,2,3.7
334.45700000000005,1.6679999999999995,57.2,0.0,3.0,1.0,22.0,11.0,1,11,0,0,2.92
376.49100000000004,0.42130000000000223,84.89,0.0,6.0,0.0,24.0,18.0,0,12,0,5,3.0
271.44499999999994,2.733600000000001,40.129999999999995,0.0,2.0,0.0,19.0,13.0,0,12,2,1,1.82
356.5510000000001,2.630000000000001,69.23,1.0,3.0,0.0,25.0,17.0,0,14,2,1,4.0
282.424,2.3316000000000003,60.69,3.0,3.0,3.0,20.0,1.0,0,15,0,6,1.92
236.39899999999994,3.999900000000004,20.23,1.0,1.0,3.0,17.0,0.0,0,14,0,2,2.22
278.4119999999999,1.2215999999999998,40.129999999999995,0.0,2.0,0.0,19.0,14.0,0,16,0,1,3.0
320.55799999999994,1.7777999999999994,40.129999999999995,0.0,2.0,0.0,21.0,15.0,0,18,3,1,2.92
320.005,3.177900000000001,0.0,0.0,0.0,0.0,21.0,15.0,0,16,1,0,3.04
320.42600000000004,0.3303999999999994,110.38000000000001,5.0,6.0,1.0,22.0,10.0,0,10,3,13,4.3
376.534,1.8907999999999991,110.38000000000001,5.0,6.0,1.0,26.0,14.0,0,14,3,13,4.7
250.35799999999995,0.4414000000000007,40.129999999999995,0.0,2.0,0.0,17.0,12.0,0,14,0,1,2.3
278.4119999999999,1.2215999999999998,40.129999999999995,0.0,2.0,0.0,19.0,14.0,0,16,0,1,2.82
306.46599999999995,2.0017999999999994,40.129999999999995,0.0,2.0,0.0,21.0,16.0,0,18,0,1,3.05
505.7650000000006,8.406200000000007,58.59,0.0,4.0,0.0,34.0,27.0,0,12,2,2,5.048
380.411,1.5508000000000013,26.3,0.0,2.0,0.0,22.0,14.0,0,12,1,2,1.924818145
204.22299999999998,-1.9524999999999972,66.43,0.0,4.0,0.0,12.0,6.0,0,6,0,1,0.38
218.25,-1.5623999999999976,66.43,0.0,4.0,0.0,13.0,7.0,0,7,0,1,0.68
246.304,-0.7821999999999982,66.43,0.0,4.0,0.0,15.0,9.0,0,9,0,1,1.19
316.439,1.1683,66.43,0.0,4.0,0.0,20.0,14.0,0,14,0,1,2.68
344.493,1.9484999999999995,66.43,0.0,4.0,0.0,22.0,16.0,0,16,0,1,3.46
272.33599999999996,0.38810000000000056,66.43,0.0,4.0,0.0,18.0,12.0,0,12,0,1,2.02
283.43399999999997,3.760300000000001,102.93,1.0,4.0,0.0,18.0,12.0,0,12,0,1,2.1
274.35799999999995,-0.0019999999999991136,66.43,0.0,4.0,0.0,17.0,11.0,0,11,0,1,1.82
372.54699999999997,2.7287,66.43,0.0,4.0,0.0,24.0,18.0,0,18,0,1,3.6
302.412,0.7782000000000002,66.43,0.0,4.0,0.0,19.0,13.0,0,13,0,1,2.35
265.259,0.5308000000000008,5.900000000000002,0.0,1.0,0.0,14.0,9.0,0,10,1,0,1.19
209.15099999999998,-1.0295999999999976,5.900000000000002,0.0,1.0,0.0,10.0,5.0,0,6,1,0,0.07
237.205,-0.2493999999999985,5.900000000000002,0.0,1.0,0.0,12.0,7.0,0,8,1,0,0.6
276.91599999999994,2.0911999999999993,5.900000000000002,0.0,1.0,0.0,18.0,13.0,0,14,1,0,2.52
377.4749999999999,3.651600000000002,5.900000000000002,0.0,1.0,0.0,22.0,17.0,0,18,1,0,3.7
339.9949999999999,3.4594000000000014,3.88,0.0,0.0,1.0,23.0,15.0,1,16,1,0,3.05
283.887,1.8989999999999996,3.88,0.0,0.0,1.0,19.0,11.0,1,12,1,0,1.89
310.933,2.4913,5.900000000000002,0.0,1.0,1.0,21.0,12.0,1,10,1,0,4.1
571.4830000000005,10.283299999999995,5.900000000000002,0.0,1.0,0.0,39.0,34.0,0,18,1,0,5.0
447.61000000000024,5.602100000000005,5.900000000000002,0.0,1.0,0.0,27.0,22.0,0,12,1,0,3.92
306.39900000000006,-0.05970000000000031,110.38000000000001,5.0,6.0,1.0,21.0,9.0,0,9,3,13,3.82
292.37200000000007,-0.44980000000000014,110.38000000000001,5.0,6.0,1.0,20.0,8.0,0,8,3,13,1.6
278.345,-0.8399000000000005,110.38000000000001,5.0,6.0,1.0,19.0,7.0,0,7,3,13,1.1
498.56600000000014,-1.3005999999999973,187.76,7.0,12.0,2.0,34.0,15.0,0,10,3,23,2.74
526.6200000000001,-0.5203999999999978,187.76,7.0,12.0,2.0,36.0,17.0,0,12,3,23,3.77
406.60400000000027,3.9826000000000037,66.38000000000001,1.0,6.0,0.0,28.0,25.0,0,12,3,11,4.15
494.7100000000005,4.015800000000003,84.84000000000002,1.0,8.0,0.0,34.0,31.0,0,12,3,15,4.05
318.49800000000005,3.949400000000004,47.92,1.0,4.0,0.0,22.0,19.0,0,12,3,7,4.3
306.44300000000004,2.405600000000001,57.150000000000006,1.0,5.0,0.0,21.0,18.0,0,8,3,9,2.19
382.5410000000003,4.010500000000004,57.150000000000006,1.0,5.0,1.0,27.0,19.0,1,8,3,8,4.1
280.40799999999996,3.289800000000002,38.69,1.0,3.0,1.0,20.0,10.0,1,4,3,6,3.46
500.6730000000005,3.372800000000003,84.84000000000002,1.0,8.0,1.0,35.0,25.0,1,4,3,16,4.7
478.66700000000026,3.119100000000002,125.68000000000002,4.0,8.0,0.0,33.0,25.0,0,16,3,13,4.52
506.7210000000003,3.8993000000000033,125.68000000000002,4.0,8.0,0.0,35.0,27.0,0,18,3,13,4.7
518.7320000000003,4.065400000000004,125.68000000000002,4.0,8.0,0.0,36.0,27.0,0,19,3,13,5.0
344.53600000000006,4.611700000000005,66.76,2.0,4.0,0.0,24.0,18.0,0,16,3,4,4.22
372.5900000000001,5.391900000000007,66.76,2.0,4.0,0.0,26.0,20.0,0,18,3,4,4.7
274.44499999999994,3.9328000000000034,38.69,1.0,3.0,0.0,19.0,16.0,0,12,3,5,3.92
462.7120000000004,5.543000000000006,66.38000000000001,1.0,6.0,0.0,32.0,29.0,0,16,3,11,4.82
472.7510000000004,6.862800000000008,57.150000000000006,1.0,5.0,0.0,33.0,29.0,0,20,3,9,5.0
229.40799999999996,4.481500000000004,23.06,0.0,1.0,0.0,16.0,11.0,0,12,2,0,2.82
257.46199999999993,5.261700000000005,23.06,0.0,1.0,0.0,18.0,13.0,0,14,2,0,3.46
256.40999999999997,2.4271000000000003,46.03,0.0,3.0,0.0,18.0,13.0,0,12,2,1,3.92
